date,ticker,price,volume
2025-01-02,AAPL,148.6377,87954969
2025-01-03,AAPL,146.3674,67779805
2025-01-06,AAPL,146.0048,85175591
2025-01-07,AAPL,146.8167,53572580
2025-01-08,AAPL,148.9063,58075911
2025-01-09,AAPL,149.177,83982558
2025-01-10,AAPL,148.2651,49345129
2025-01-13,AAPL,146.9489,43210721
2025-01-14,AAPL,148.3493,58695331
2025-01-15,AAPL,151.3639,73959076
2025-01-16,AAPL,151.9361,46112343
2025-01-17,AAPL,149.7789,83504425
2025-01-20,AAPL,148.1405,57052685
2025-01-21,AAPL,151.0878,51365926
2025-01-22,AAPL,151.5319,67222470
2025-01-23,AAPL,148.4889,84772411
2025-01-24,AAPL,148.4141,84196639
2025-01-27,AAPL,146.43,83609773
2025-01-28,AAPL,145.4011,55323440
2025-01-29,AAPL,144.6244,40925860
