date,age,income,transactions,spend,income_log,transactions_7d_mean_lag1,region_East,region_North,region_South,region_West
2021-02-04,36.2,31265.07,4,162.59,10.35028876298847,1.6666666666666667,0,0,0,1
2021-02-05,54.5,73833.23,1,142.32,11.209577724195,2.25,0,1,0,0
2021-02-06,44.2,27716.52,2,28.24,10.229819983212044,2.0,0,0,1,0
2021-02-07,40.4,38547.19,6,120.17,10.55966442587882,2.0,1,0,0,0
2021-02-08,32.8,39264.65,1,114.29,10.57810536985507,2.5714285714285716,0,0,0,1
2021-02-09,42.9,61656.93,4,230.18,11.02935712967973,2.5714285714285716,1,0,0,0
2021-02-10,36.1,31916.84,3,91.6,10.37092038010115,2.7142857142857144,0,0,0,1
2021-02-11,38.2,36937.55,2,88.59,10.517011000140371,3.0,0,1,0,0
2021-02-12,27.0,23526.39,3,102.19,10.065920553342139,2.7142857142857144,0,0,1,0
2021-02-13,36.1,44411.8,1,92.98,10.70128299516152,3.0,1,0,0,0
2021-02-14,41.3,45869.18,3,134.73,10.73357051171694,2.857142857142857,0,0,1,0
2021-02-15,30.0,48786.22,5,152.73,10.795223672297407,2.4285714285714284,0,0,1,0
2021-02-16,40.6,30393.37,1,71.11,10.322012672874742,3.0,0,0,1,0
2021-02-17,45.3,43084.08,5,131.49,10.670932044466852,2.5714285714285716,0,1,0,0
2021-02-18,37.5,30784.19,6,149.32,10.334789009163199,2.857142857142857,0,1,0,0
2021-02-19,35.0,34761.45,1,96.53,10.456293060209651,3.4285714285714284,1,0,0,0
2021-02-20,35.0,39199.76,3,114.33,10.576451413345715,3.142857142857143,0,0,1,0
2021-02-21,47.5,59147.76,2,98.82,10.98781090553506,3.4285714285714284,0,0,0,1
2021-02-22,27.7,35168.83,4,135.68,10.46794389179129,3.2857142857142856,0,1,0,0
2021-02-23,37.6,42285.18,3,72.45,10.65221559770375,3.142857142857143,0,0,0,1
2021-02-24,36.6,31125.1,3,73.53,10.34580197450798,3.4285714285714284,0,0,1,0
2021-02-25,41.2,33793.19,5,97.76,10.428044173204606,3.142857142857143,0,1,0,0
2021-02-26,39.4,32482.07,4,131.03,10.388474309513342,3.0,0,1,0,0
2021-02-27,31.1,38218.9,3,135.98,10.551111601359654,3.4285714285714284,0,0,1,0
2021-02-28,56.3,50441.08,3,113.87,10.828581026342032,3.4285714285714284,0,1,0,0
2021-03-01,41.4,28756.21,0,6.22,10.26664379739349,3.5714285714285716,0,0,0,1
2021-03-02,29.3,38621.95,1,110.23,10.561601938357892,3.0,0,0,0,1
2021-03-03,32.9,30101.17,5,144.0,10.312352541161646,2.7142857142857144,0,0,0,1
2021-03-04,40.8,44271.76,0,2.31,10.698124868485795,3.0,0,0,1,0
2021-03-05,44.9,33919.27,2,124.41,10.43176804977982,2.2857142857142856,0,1,0,0
2021-03-06,29.3,36546.02,3,144.48,10.506354929706255,2.0,0,0,1,0
2021-03-07,45.7,35573.25,1,59.6,10.479377340515159,2.0,0,0,1,0
2021-03-08,29.0,55610.0,2,115.06,10.926136302397198,1.7142857142857142,1,0,0,0
2021-03-09,33.6,43124.21,3,112.92,10.671863023887022,2.0,0,0,1,0
2021-03-10,46.8,55094.0,3,115.72,10.916814246921877,2.2857142857142856,1,0,0,0
2021-03-11,53.6,35774.12,3,123.1,10.48500795871672,2.0,0,0,1,0
2021-03-12,39.3,37142.68,5,114.69,10.522548914543112,2.4285714285714284,1,0,0,0
2021-03-13,37.5,64712.56,2,118.7,11.077726041218943,2.857142857142857,0,1,0,0
2021-03-14,50.1,24315.31,2,75.89,10.098902597594718,2.7142857142857144,0,0,0,1
2021-03-15,31.4,30624.62,6,83.97,10.329592192540062,2.857142857142857,1,0,0,0
2021-03-16,42.2,37780.79,4,105.48,10.539582519499032,3.4285714285714284,0,1,0,0
2021-03-17,41.9,68824.62,4,122.35,11.139331338324755,3.5714285714285716,0,0,0,1
2021-03-18,48.1,33189.21,0,28.27,10.410010231900994,3.7142857142857144,0,0,1,0
2021-03-19,42.4,50563.35,3,106.0,10.831002061512226,3.2857142857142856,0,0,0,1
2021-03-20,37.9,64054.95,2,120.51,11.067512199185161,3.0,0,0,1,0
2021-03-21,44.9,37113.56,2,93.16,10.521764624436246,3.0,0,0,0,1
2021-03-22,31.0,37816.0,2,47.38,10.540514015956738,3.0,0,1,0,0
2021-03-23,46.5,65765.54,3,159.59,11.093866477339729,2.4285714285714284,0,0,1,0
2021-03-24,34.6,33737.47,5,67.17,10.426394008302351,2.2857142857142856,0,1,0,0
2021-03-25,32.7,29039.29,3,129.73,10.276439455114765,2.4285714285714284,0,0,1,0
2021-03-26,37.1,51066.75,4,140.11,10.840908461494719,2.857142857142857,0,0,1,0
2021-03-27,40.4,34112.99,3,131.28,10.437462843065992,3.0,0,0,0,1
2021-03-28,45.7,58785.78,4,78.18,10.981672278676708,3.142857142857143,0,0,1,0
2021-03-29,38.3,46819.93,5,209.64,10.754085604153909,3.4285714285714284,0,0,0,1
2021-03-30,45.9,23529.9,1,35.86,10.066069730033707,3.857142857142857,1,0,0,0
2021-03-31,47.8,43303.88,3,126.55,10.676020609718702,3.5714285714285716,0,0,1,0
2021-04-01,39.2,39964.06,1,76.56,10.595760851372642,3.2857142857142856,0,0,1,0
2021-04-02,32.1,32636.97,0,40.47,10.39323161351649,3.0,0,1,0,0
2021-04-03,47.4,55468.72,4,130.84,10.923592565262968,2.4285714285714284,1,0,0,0
2021-04-04,42.2,23403.77,7,75.34,10.060695126725834,2.5714285714285716,0,0,1,0
2021-04-05,23.1,27336.93,2,121.25,10.216030394170875,3.0,0,1,0,0
2021-04-06,32.1,34302.45,5,210.74,10.443001211186271,2.5714285714285716,0,1,0,0
2021-04-07,41.1,50506.85,1,64.33,10.8298840487276,3.142857142857143,0,1,0,0
2021-04-08,29.0,25063.2,3,140.43,10.129195812172487,2.857142857142857,0,0,0,1
2021-04-09,34.5,32864.94,4,154.33,10.400192142144729,3.142857142857143,0,0,1,0
2021-04-10,26.3,32095.22,1,75.9,10.37649354517486,3.7142857142857144,0,0,0,1
2021-04-11,43.2,25266.9,4,100.35,10.137290094435961,3.2857142857142856,0,1,0,0
2021-04-12,41.9,35384.93,4,144.94,10.474069562487529,2.857142857142857,0,1,0,0
2021-04-13,41.4,38621.95,1,30.53,10.561601938357892,3.142857142857143,0,0,1,0
2021-04-14,51.6,38621.95,3,88.96,10.561601938357892,2.5714285714285716,0,0,0,1
2021-04-15,37.2,43243.68,2,75.93,10.674629499013847,2.857142857142857,0,0,1,0
2021-04-16,37.7,38621.95,1,29.92,10.561601938357892,2.7142857142857144,1,0,0,0
2021-04-17,56.2,30507.11,3,74.32,10.325747828889272,2.2857142857142856,1,0,0,0
2021-04-18,29.6,29451.63,2,100.91,10.2905384889973,2.5714285714285716,1,0,0,0
2021-04-19,45.8,30699.71,4,141.66,10.332041060343693,2.2857142857142856,0,0,0,1
2021-04-20,29.5,24724.73,1,19.57,10.115599680827563,2.2857142857142856,0,0,1,0
2021-04-21,41.9,27780.23,2,71.68,10.232115891786044,2.2857142857142856,0,1,0,0
2021-04-22,56.9,41075.11,0,50.79,10.6231819662774,2.142857142857143,0,1,0,0
2021-04-23,42.2,30415.08,3,26.98,10.322726694919385,1.8571428571428572,0,0,0,1
2021-04-24,33.8,105891.53,5,290.78,11.570179990857932,2.142857142857143,0,1,0,0
2021-04-25,59.1,31007.86,4,71.77,10.342028249084013,2.4285714285714284,1,0,0,0
2021-04-26,35.6,45469.95,2,146.93,10.724828939497218,2.7142857142857144,0,0,1,0
2021-04-27,38.4,25193.84,1,0.0,10.134394490628171,2.4285714285714284,0,0,0,1
2021-04-28,42.4,36542.44,7,147.12,10.506256968905273,2.4285714285714284,0,0,0,1
2021-04-30,48.9,38696.71,5,163.38,10.56353570414046,3.142857142857143,0,1,0,0
2021-05-01,53.0,59181.38,6,214.87,10.988379141434834,3.857142857142857,0,0,1,0
2021-05-02,46.1,37703.87,2,88.83,10.537544542812212,4.285714285714286,0,0,1,0
2021-05-03,42.6,27582.59,3,175.84,10.224976309663859,3.857142857142857,1,0,0,0
2021-05-04,38.8,41152.54,4,134.61,10.625065229136599,3.7142857142857144,0,1,0,0
2021-05-05,47.1,29698.61,2,92.44,10.298889193391442,4.0,1,0,0,0
2021-05-06,22.0,38334.8,3,80.89,10.554139464433131,4.142857142857143,1,0,0,0
2021-05-07,39.0,64338.68,3,117.07,11.071931827202782,3.5714285714285716,0,0,1,0
2021-05-08,42.0,53054.92,1,151.27,10.879101730653058,3.2857142857142856,0,1,0,0
2021-05-09,24.1,55279.29,3,190.91,10.920171704448052,2.5714285714285716,0,0,1,0
2021-05-10,43.4,46928.95,2,32.77,10.756411343371317,2.7142857142857144,0,0,0,1
2021-05-11,39.0,39756.34,6,144.34,10.59054975712406,2.5714285714285716,0,0,1,0
2021-05-12,39.7,25150.26,5,177.05,10.132663273676531,2.857142857142857,0,0,1,0
2021-05-13,40.8,34703.75,0,54.86,10.454631844174767,3.2857142857142856,0,0,1,0
2021-05-14,44.6,34125.24,3,143.67,10.437821868823425,2.857142857142857,1,0,0,0
2021-05-15,43.7,49159.7,2,36.73,10.802849802797471,2.857142857142857,1,0,0,0
2021-05-16,31.7,54087.23,5,178.12,10.898371881091009,3.0,1,0,0,0
2021-05-17,39.1,46330.58,1,87.79,10.743579081002084,3.2857142857142856,1,0,0,0
2021-05-18,38.5,31575.12,0,49.75,10.360156417690161,3.142857142857143,0,0,1,0
2021-05-19,40.3,69922.3,19,96.57,11.155154206012021,2.2857142857142856,1,0,0,0
2021-05-20,35.3,61448.42,2,126.47,11.025969676381695,4.285714285714286,0,0,0,1
2021-05-21,47.8,37597.98,3,181.69,10.53473220135045,4.571428571428571,0,1,0,0
2021-05-22,50.4,42579.76,6,128.48,10.659157787043467,4.571428571428571,1,0,0,0
2021-05-23,52.2,48634.28,4,142.17,10.79210447245773,5.142857142857143,1,0,0,0
2021-05-24,55.2,41405.43,2,85.74,10.631191461763095,5.0,0,1,0,0
2021-05-25,51.9,38965.79,6,155.68,10.570465023885417,5.142857142857143,0,1,0,0
2021-05-26,36.3,46552.03,2,178.61,10.748347371886544,6.0,1,0,0,0
2021-05-27,35.1,40260.33,3,178.23,10.60314673391887,3.5714285714285716,1,0,0,0
2021-05-28,36.8,42671.79,2,85.28,10.661316759561263,3.7142857142857144,1,0,0,0
2021-05-29,44.5,24750.35,2,94.67,10.116635311963833,3.5714285714285716,0,0,1,0
2021-05-30,39.0,38621.95,7,130.35,10.561601938357892,3.0,0,0,1,0
2021-05-31,47.9,67665.11,3,168.67,11.12234074272099,3.4285714285714284,0,1,0,0
2021-06-01,53.2,25419.94,1,41.33,10.143328522816631,3.5714285714285716,0,0,1,0
2021-06-02,36.6,46451.71,19,201.52,10.746190084843692,2.857142857142857,0,0,1,0
2021-06-03,47.8,44183.78,2,120.9,10.696135664874415,5.285714285714286,0,0,0,1
2021-06-04,36.9,42905.39,3,76.1,10.666776044872954,5.142857142857143,0,1,0,0
2021-06-06,29.8,54433.41,1,54.75,10.904751769641681,5.285714285714286,0,0,1,0
2021-06-07,37.4,44591.81,1,170.5,10.705327914249972,5.142857142857143,0,0,1,0
2021-06-08,24.8,36219.45,2,51.25,10.497379155435322,4.285714285714286,0,0,1,0
2021-06-09,44.0,26313.46,3,36.43,10.17787387696171,4.142857142857143,0,0,1,0
2021-06-10,52.1,37462.2,1,47.08,10.531114396802367,4.428571428571429,0,0,1,0
2021-06-11,30.7,33533.93,3,84.71,10.420342861160256,1.8571428571428572,1,0,0,0
2021-06-12,37.3,27515.49,3,120.48,10.222540740308252,2.0,0,1,0,0
2021-06-13,52.3,44996.33,3,91.1,10.714358433658832,2.0,0,0,0,1
2021-06-14,42.8,47803.23,2,175.38,10.774869408288058,2.2857142857142856,1,0,0,0
2021-06-15,41.6,51566.98,2,114.07,10.850656216217725,2.4285714285714284,0,1,0,0
2021-06-16,37.9,41658.6,5,165.16,10.637287113232622,2.4285714285714284,0,0,1,0
2021-06-17,48.1,37365.06,1,132.04,10.52851808475633,2.7142857142857144,0,0,0,1
2021-06-18,42.6,56654.53,3,146.74,10.944744878638089,2.7142857142857144,0,0,1,0
2021-06-19,31.3,50766.07,1,107.71,10.835003195029282,2.7142857142857144,0,0,1,0
2021-06-20,22.0,80517.09,4,219.27,11.29623715865768,2.4285714285714284,0,0,0,1
2021-06-21,22.0,47721.84,1,60.68,10.773165388271654,2.5714285714285716,0,0,1,0
2021-06-22,45.3,30474.97,1,42.57,10.324693783211263,2.4285714285714284,1,0,0,0
2021-06-23,37.9,53989.18,7,235.02,10.896557457157506,2.2857142857142856,1,0,0,0
2021-06-24,51.6,81398.17,4,163.06,11.30712035537845,2.5714285714285716,1,0,0,0
2021-06-25,44.1,43906.31,4,115.26,10.68983610000759,3.0,1,0,0,0
2021-06-26,29.8,38298.65,4,167.76,10.553196036745781,3.142857142857143,1,0,0,0
2021-06-27,42.3,33839.56,5,165.39,10.429415362046592,3.5714285714285716,1,0,0,0
2021-06-28,49.5,71897.56,1,140.19,11.183011515692167,3.7142857142857144,0,1,0,0
2021-06-29,32.8,38325.86,1,30.03,10.55390623485199,3.7142857142857144,0,0,0,1
2021-06-30,35.9,37670.11,3,190.82,10.536648766670861,3.7142857142857144,0,1,0,0
2021-07-01,53.9,44468.8,4,133.11,10.702565586080642,3.142857142857143,0,0,0,1
2021-07-02,26.0,26483.45,4,99.4,10.184313047291413,3.142857142857143,0,1,0,0
2021-07-03,31.3,37424.7,1,67.32,10.530112913187727,3.142857142857143,1,0,0,0
2021-07-04,48.4,27763.58,3,62.09,10.231516386602893,2.7142857142857144,0,0,1,0
2021-07-06,30.9,47229.84,5,241.93,10.762802348037956,2.4285714285714284,0,1,0,0
2021-07-07,28.4,53759.45,3,73.99,10.892293345697713,3.0,0,0,1,0
2021-07-08,43.7,35898.92,3,198.4,10.488490346061631,3.2857142857142856,0,0,1,0
2021-07-09,49.7,52120.91,1,57.83,10.8613406767684,3.2857142857142856,0,0,0,1
2021-07-10,46.6,36205.38,2,51.93,10.496990625378796,2.857142857142857,0,0,0,1
